"Name","Version","License"
"Babel","2.7.0","BSD License"
"Jinja2","2.11.3","BSD License"
"MarkupSafe","1.1.1","BSD License"
"PyJWT","2.8.0","MIT License"
"PyNaCl","1.5.0","Apache License 2.0"
"PyYAML","5.4.1","MIT License"
"Pygments","2.16.1","BSD License"
"adal","1.2.7","MIT License"
"ansible","5.4.0","GNU General Public License v3 or later (GPLv3+)"
"ansible-core","2.12.7","GNU General Public License v3 or later (GPLv3+)"
"ansible-runner","2.3.4","Apache Software License"
"apache-libcloud","2.5.0","Apache Software License"
"appdirs","1.4.4","MIT License"
"applicationinsights","0.11.10","MIT"
"argcomplete","3.1.1","Apache Software License"
"asn1crypto","0.24.0","MIT License"
"asn1crypto","1.2.0","MIT License"
"azure-cli-core","2.0.35","MIT License"
"azure-cli-nspkg","3.0.4","MIT License"
"azure-common","1.1.28","MIT License"
"azure-core","1.29.4","MIT License"
"azure-graphrbac","0.40.0","MIT License"
"azure-keyvault","1.0.0a1","MIT License"
"azure-mgmt-authorization","0.51.1","MIT License"
"azure-mgmt-batch","5.0.1","MIT License"
"azure-mgmt-cdn","3.0.0","MIT License"
"azure-mgmt-compute","4.4.0","MIT License"
"azure-mgmt-containerinstance","1.4.0","MIT License"
"azure-mgmt-containerregistry","2.0.0","MIT License"
"azure-mgmt-containerservice","4.4.0","MIT License"
"azure-mgmt-cosmosdb","0.5.2","MIT License"
"azure-mgmt-devtestlabs","3.0.0","MIT License"
"azure-mgmt-dns","2.1.0","MIT License"
"azure-mgmt-hdinsight","0.1.0","MIT License"
"azure-mgmt-keyvault","1.1.0","MIT License"
"azure-mgmt-loganalytics","0.2.0","MIT License"
"azure-mgmt-marketplaceordering","0.1.0","MIT License"
"azure-mgmt-monitor","0.5.2","MIT License"
"azure-mgmt-network","2.3.0","MIT License"
"azure-mgmt-nspkg","2.0.0","MIT License"
"azure-mgmt-rdbms","1.4.1","MIT License"
"azure-mgmt-redis","5.0.0","MIT License"
"azure-mgmt-resource","2.1.0","MIT License"
"azure-mgmt-servicebus","0.5.3","MIT License"
"azure-mgmt-sql","0.10.0","MIT License"
"azure-mgmt-storage","3.1.0","MIT License"
"azure-mgmt-trafficmanager","0.50.0","MIT License"
"azure-mgmt-web","0.41.0","MIT License"
"azure-nspkg","3.0.2","MIT License"
