name,version,licenses,git_sha
actioncable,6.1.7.4,MIT,
actionmailbox,6.1.7.4,MIT,
actionmailer,6.1.7.4,MIT,
actionpack,6.1.7.4,MIT,
actiontext,6.1.7.4,MIT,
actionview,6.1.7.4,MIT,
activejob,6.1.7.4,MIT,
activemodel,6.1.7.4,MIT,
activerecord,6.1.7.4,MIT,
activerecord-id_regions,0.3.2,Apache 2.0,
activerecord-session_store,2.0.0,MIT,
activerecord-virtual_attributes,6.1.1,Apache 2.0,
activestorage,6.1.7.4,MIT,
activesupport,6.1.7.4,MIT,
acts_as_tree,2.9.1,MIT,
addressable,2.8.4,Apache 2.0,
akami,1.3.1,MIT,
amazon_ssa_support,0.1.0,MIT,83d721e
american_date,1.2.0,MIT,
amq-protocol,2.3.2,MIT,
ancestry,4.1.0,MIT,
ansible_tower_client,0.21.3,MIT,
apipie-bindings,0.4.0,MIT,
autosde_openapi_client,3.2.14,Apache 2.0,
awesome_spawn,1.5.0,MIT,
aws-eventstream,1.2.0,Apache 2.0,
aws-partitions,1.772.0,Apache 2.0,
aws-sdk-cloudformation,1.77.0,Apache 2.0,
aws-sdk-cloudwatch,1.73.0,Apache 2.0,
aws-sdk-core,3.173.1,Apache 2.0,
aws-sdk-ec2,1.380.0,Apache 2.0,
aws-sdk-elasticloadbalancing,1.42.0,Apache 2.0,
aws-sdk-iam,1.77.0,Apache 2.0,
aws-sdk-kms,1.64.0,Apache 2.0,
aws-sdk-rds,1.179.0,Apache 2.0,
aws-sdk-s3,1.122.0,Apache 2.0,
aws-sdk-servicecatalog,1.79.0,Apache 2.0,
aws-sdk-sns,1.60.0,Apache 2.0,
aws-sdk-sqs,1.55.0,Apache 2.0,
aws-sigv4,1.5.2,Apache 2.0,
azure-armrest,0.15.0,Apache 2.0,
azure-signature,0.3.0,Apache 2.0,
azure_mgmt_compute,0.22.0,MIT,
azure_mgmt_monitor,0.19.0,MIT,
azure_mgmt_network,0.26.1,MIT,
azure_mgmt_resources,0.18.2,MIT,
bcrypt,3.1.19,MIT,
bcrypt_pbkdf,1.1.0,MIT,
binary_struct,2.1.0,MIT,
bootsnap,1.16.0,MIT,
builder,3.2.4,MIT,
bundler,2.4.18,MIT,
bunny,2.1.0,MIT,
byebug,11.1.3,Simplified BSD,
color,1.8,MIT,
concurrent-ruby,1.2.2,MIT,
config,2.2.3,MIT,
connection_pool,2.4.1,MIT,
crass,1.0.6,MIT,
dalli,3.2.5,MIT,
date,3.3.3,"Simplified BSD,ruby",
dbus-systemd,1.1.2,MIT,
declarative,0.0.20,MIT,
deep_merge,1.2.2,MIT,
default_value_for,3.4.0,MIT,
docker-api,1.33.6,MIT,
domain_name,0.5.20190701,"Mozilla Public License 2.0,New BSD,Simplified BSD",
dry-configurable,1.0.1,MIT,
dry-core,1.0.0,MIT,
dry-inflector,1.0.0,MIT,
dry-initializer,3.1.1,MIT,
dry-logic,1.5.0,MIT,
dry-schema,1.13.1,MIT,
dry-types,1.7.1,MIT,
dry-validation,1.10.0,MIT,
elif,0.1.0,ruby,
erubi,1.12.0,MIT,
escape_utils,1.3.0,MIT,
et-orbi,1.2.7,MIT,
ethon,0.16.0,MIT,
excon,0.99.0,MIT,
execjs,2.8.1,MIT,
faraday,1.10.3,MIT,
faraday-cookie_jar,0.0.7,MIT,
faraday-em_http,1.0.0,MIT,
faraday-em_synchrony,1.0.0,MIT,
faraday-excon,1.1.0,MIT,
faraday-httpclient,1.0.1,MIT,
faraday-multipart,1.0.4,MIT,
faraday-net_http,1.0.1,MIT,
faraday-net_http_persistent,1.2.0,MIT,
faraday-patron,1.0.0,MIT,
faraday-rack,1.0.0,MIT,
faraday-retry,1.0.3,MIT,
faraday_middleware,1.2.0,MIT,
fast_gettext,2.0.3,"MIT,ruby",
ffi,1.15.5,New BSD,
ffi-compiler,1.0.1,Apache 2.0,
ffi-vix_disk_lib,1.3.0,Apache 2.0,
floe,0.2.3,unknown,
fog-core,2.2.4,MIT,
fog-google,1.20.0,MIT,
fog-json,1.2.0,MIT,
fog-kubevirt,1.3.7,Apache 2.0,
fog-openstack,1.1.0,MIT,
fog-vcloud-director,0.3.1,MIT,
fog-xml,0.1.4,MIT,
foreman_api_client,1.0.2,Apache 2.0,
formatador,0.3.0,MIT,
forwardable,1.3.3,"Simplified BSD,ruby",
fugit,1.8.1,MIT,
