name,version,license,repo
GConf2,3.2.6-22.el8.x86_64,"LGPLv2+ and GPLv2+",@appstream
NetworkManager,1.40.16-9.el8.x86_64,"GPLv2+ and LGPLv2+",@baseos
NetworkManager-libnm,1.40.16-9.el8.x86_64,"LGPLv2+",@baseos
NetworkManager-team,1.40.16-9.el8.x86_64,"GPLv2+ and LGPLv2+",@baseos
NetworkManager-tui,1.40.16-9.el8.x86_64,"GPLv2+ and LGPLv2+",@baseos
OpenIPMI,2.0.31-3.el8.x86_64,"LGPLv2+ and GPLv2+ or BSD",@anaconda
OpenIPMI-libs,2.0.31-3.el8.x86_64,"LGPLv2+ and GPLv2+ or BSD",@anaconda
PackageKit,1.1.12-7.el8.x86_64,"GPLv2+ and LGPLv2+",@appstream
PackageKit-glib,1.1.12-7.el8.x86_64,"GPLv2+ and LGPLv2+",@appstream
abattis-cantarell-fonts,0.0.25-6.el8.noarch,"OFL",@appstream
acl,2.2.53-1.el8.x86_64,"GPLv2+",@anaconda
adcli,0.9.2-1.el8.x86_64,"LGPLv2+",@anaconda
alsa-lib,1.2.9-1.el8.x86_64,"LGPLv2+",@appstream
ansible,5.4.0-3.el8.noarch,"GPLv3+",@manageiq-16-petrosian-noarch
ansible-core,2.12.7-1.el8.x86_64,"GPLv3+",@appstream
apr,1.6.3-12.el8.x86_64,"ASL 2.0 and BSD with advertising and ISC and BSD",@appstream
apr-util,1.6.1-9.el8.x86_64,"ASL 2.0",@appstream
apr-util-bdb,1.6.1-9.el8.x86_64,"ASL 2.0",@appstream
apr-util-openssl,1.6.1-9.el8.x86_64,"ASL 2.0",@appstream
at,3.1.20-12.el8.x86_64,"GPLv3+ and GPLv2+ and ISC and MIT and Public Domain",@anaconda
atk,2.28.1-1.el8.x86_64,"LGPLv2+",@appstream
attr,2.4.48-3.el8.x86_64,"GPLv2+",@anaconda
audit,3.0.7-5.el8.x86_64,"GPLv2+",@baseos
audit-libs,3.0.7-5.el8.x86_64,"LGPLv2+",@baseos
augeas-libs,1.12.0-8.el8.x86_64,"LGPLv2+",@anaconda
authselect,1.2.6-2.el8.x86_64,"GPLv3+",@baseos
authselect-libs,1.2.6-2.el8.x86_64,"GPLv3+",@baseos
autofs,5.1.4-109.el8.x86_64,"GPLv2+",@baseos
avahi-libs,0.7-20.el8.x86_64,"LGPLv2+",@anaconda
basesystem,11-5.el8.noarch,"Public Domain",@anaconda
bash,4.4.20-4.el8.x86_64,"GPLv3+",@anaconda
bc,1.07.1-5.el8.x86_64,"GPLv2+",@anaconda
bind-export-libs,9.11.36-9.el8.x86_64,"MPLv2.0",@baseos
bind-libs,9.11.36-9.el8.x86_64,"MPLv2.0",@appstream
bind-libs-lite,9.11.36-9.el8.x86_64,"MPLv2.0",@appstream
bind-license,9.11.36-9.el8.noarch,"MPLv2.0",@appstream
bind-utils,9.11.36-9.el8.x86_64,"MPLv2.0",@appstream
binutils,2.30-123.el8.x86_64,"GPLv3+",@baseos
biosdevname,0.7.3-2.el8.x86_64,"GPLv2",@anaconda
brotli,1.0.6-3.el8.x86_64,"MIT",@anaconda
bzip2-libs,1.0.6-26.el8.x86_64,"BSD",@anaconda
c-ares,1.13.0-8.el8.x86_64,"MIT",@baseos
ca-certificates,2023.2.60_v7.0.306-80.0.el8.noarch,"Public Domain",@baseos
cairo,1.15.12-6.el8.x86_64,"LGPLv2 or MPLv1.1",@appstream
cairo-gobject,1.15.12-6.el8.x86_64,"LGPLv2 or MPLv1.1",@appstream
centos-gpg-keys,8-6.el8.noarch,"GPLv2",@anaconda
centos-logos,85.8-2.el8.x86_64,"Licensed only for approved usage, see COPYING for details.",@appstream
centos-logos-httpd,85.8-2.el8.noarch,"Licensed only for approved usage, see COPYING for details.",@appstream
centos-stream-release,8.6-1.el8.noarch,"GPLv2",@anaconda
centos-stream-repos,8-6.el8.noarch,"GPLv2",@anaconda
certmonger,0.79.17-2.el8.x86_64,"GPLv3+",@appstream
checkpolicy,2.9-1.el8.x86_64,"GPLv2",@anaconda
chkconfig,1.19.2-1.el8.x86_64,"GPLv2",@baseos
chrony,4.2-1.el8.x86_64,"GPLv2",@anaconda
cifs-utils,7.0-1.el8.x86_64,"GPLv3",@anaconda
cjose,0.6.1-4.module_el8+568+35aaaaa0.x86_64,"MIT",@appstream
cloud-init,23.1.1-10.el8.noarch,"GPLv3",@appstream
cockpit,299-1.el8.x86_64,"LGPL-2.1-or-later",@baseos
cockpit-bridge,299-1.el8.x86_64,"LGPL-2.1-or-later",@baseos
cockpit-packagekit,299-1.el8.noarch,"LGPL-2.1-or-later",@appstream
